[steps: 1000, samples: 256000, speed: 6.04, learning rate: 1.6e-06, batch size: 256] -> all loss: 8.9604, prob loss: 4.4021, aux prob loss: 0.6614, soft prob loss: 0.4403, soft aux prob loss: 0.0660, optimistic loss: 0.1428, ownership loss: 1.4683, wdl loss: 1.0924, Q values loss: 0.2026, scores loss: 0.4129, errors loss: 0.0715
[steps: 2000, samples: 512000, speed: 15.76, learning rate: 3.2e-06, batch size: 256] -> all loss: 8.8815, prob loss: 4.3857, aux prob loss: 0.6612, soft prob loss: 0.4398, soft aux prob loss: 0.0661, optimistic loss: 0.1364, ownership loss: 1.4359, wdl loss: 1.0696, Q values loss: 0.2020, scores loss: 0.4141, errors loss: 0.0707
[steps: 3000, samples: 768000, speed: 15.54, learning rate: 4.8e-06, batch size: 256] -> all loss: 8.7035, prob loss: 4.3399, aux prob loss: 0.6609, soft prob loss: 0.4386, soft aux prob loss: 0.0663, optimistic loss: 0.1335, ownership loss: 1.3706, wdl loss: 1.0160, Q values loss: 0.2016, scores loss: 0.4125, errors loss: 0.0635
[steps: 4000, samples: 1024000, speed: 15.65, learning rate: 6.4e-06, batch size: 256] -> all loss: 8.3734, prob loss: 4.2285, aux prob loss: 0.6599, soft prob loss: 0.4361, soft aux prob loss: 0.0667, optimistic loss: 0.1455, ownership loss: 1.2693, wdl loss: 0.9123, Q values loss: 0.1985, scores loss: 0.4096, errors loss: 0.0470
[steps: 5000, samples: 1280000, speed: 9.37, learning rate: 8e-06, batch size: 256] -> all loss: 7.9887, prob loss: 3.9992, aux prob loss: 0.6509, soft prob loss: 0.4291, soft aux prob loss: 0.0676, optimistic loss: 0.2580, ownership loss: 1.1289, wdl loss: 0.7881, Q values loss: 0.1994, scores loss: 0.4271, errors loss: 0.0405
[steps: 6000, samples: 1536000, speed: 15.86, learning rate: 9.6e-06, batch size: 256] -> all loss: 7.5866, prob loss: 3.7192, aux prob loss: 0.6296, soft prob loss: 0.4151, soft aux prob loss: 0.0683, optimistic loss: 0.3615, ownership loss: 1.0771, wdl loss: 0.6971, Q values loss: 0.1857, scores loss: 0.4072, errors loss: 0.0257
[steps: 7000, samples: 1792000, speed: 15.97, learning rate: 1.12e-05, batch size: 256] -> all loss: 7.2750, prob loss: 3.4890, aux prob loss: 0.5931, soft prob loss: 0.3996, soft aux prob loss: 0.0681, optimistic loss: 0.4524, ownership loss: 1.0455, wdl loss: 0.6487, Q values loss: 0.1734, scores loss: 0.3831, errors loss: 0.0221
[steps: 8000, samples: 2048000, speed: 15.80, learning rate: 1.28e-05, batch size: 256] -> all loss: 6.9469, prob loss: 3.4010, aux prob loss: 0.5498, soft prob loss: 0.3926, soft aux prob loss: 0.0658, optimistic loss: 0.3352, ownership loss: 1.0141, wdl loss: 0.6312, Q values loss: 0.1670, scores loss: 0.3684, errors loss: 0.0219
[steps: 9000, samples: 2304000, speed: 9.92, learning rate: 1.44e-05, batch size: 256] -> all loss: 6.6583, prob loss: 3.3385, aux prob loss: 0.5231, soft prob loss: 0.3900, soft aux prob loss: 0.0625, optimistic loss: 0.3303, ownership loss: 0.8834, wdl loss: 0.6231, Q values loss: 0.1700, scores loss: 0.3113, errors loss: 0.0260
[steps: 10000, samples: 2560000, speed: 15.83, learning rate: 1.6e-05, batch size: 256] -> all loss: 6.4603, prob loss: 3.2872, aux prob loss: 0.5101, soft prob loss: 0.3887, soft aux prob loss: 0.0603, optimistic loss: 0.2565, ownership loss: 0.8564, wdl loss: 0.6109, Q values loss: 0.1642, scores loss: 0.3034, errors loss: 0.0225
[steps: 11000, samples: 2816000, speed: 15.75, learning rate: 1.76e-05, batch size: 256] -> all loss: 6.3372, prob loss: 3.2452, aux prob loss: 0.5022, soft prob loss: 0.3875, soft aux prob loss: 0.0593, optimistic loss: 0.2327, ownership loss: 0.8377, wdl loss: 0.5969, Q values loss: 0.1588, scores loss: 0.2963, errors loss: 0.0205
[steps: 12000, samples: 3072000, speed: 15.83, learning rate: 1.92e-05, batch size: 256] -> all loss: 6.2673, prob loss: 3.2254, aux prob loss: 0.4992, soft prob loss: 0.3866, soft aux prob loss: 0.0589, optimistic loss: 0.2246, ownership loss: 0.8266, wdl loss: 0.5849, Q values loss: 0.1541, scores loss: 0.2886, errors loss: 0.0184
[steps: 13000, samples: 3328000, speed: 9.96, learning rate: 2.08e-05, batch size: 256] -> all loss: 6.0805, prob loss: 3.1768, aux prob loss: 0.4941, soft prob loss: 0.3859, soft aux prob loss: 0.0589, optimistic loss: 0.2988, ownership loss: 0.7108, wdl loss: 0.5533, Q values loss: 0.1472, scores loss: 0.2384, errors loss: 0.0163
[steps: 14000, samples: 3584000, speed: 15.81, learning rate: 2.24e-05, batch size: 256] -> all loss: 6.0337, prob loss: 3.1573, aux prob loss: 0.4922, soft prob loss: 0.3853, soft aux prob loss: 0.0587, optimistic loss: 0.3063, ownership loss: 0.7019, wdl loss: 0.5413, Q values loss: 0.1426, scores loss: 0.2332, errors loss: 0.0148
[steps: 15000, samples: 3840000, speed: 15.70, learning rate: 2.4e-05, batch size: 256] -> all loss: 6.0015, prob loss: 3.1439, aux prob loss: 0.4910, soft prob loss: 0.3848, soft aux prob loss: 0.0587, optimistic loss: 0.3134, ownership loss: 0.6941, wdl loss: 0.5323, Q values loss: 0.1399, scores loss: 0.2297, errors loss: 0.0137
[steps: 16000, samples: 4096000, speed: 15.86, learning rate: 2.56e-05, batch size: 256] -> all loss: 5.9749, prob loss: 3.1344, aux prob loss: 0.4894, soft prob loss: 0.3844, soft aux prob loss: 0.0586, optimistic loss: 0.3222, ownership loss: 0.6862, wdl loss: 0.5242, Q values loss: 0.1366, scores loss: 0.2262, errors loss: 0.0126
[steps: 17000, samples: 4352000, speed: 9.93, learning rate: 2.7199999999999997e-05, batch size: 256] -> all loss: 5.8843, prob loss: 3.0806, aux prob loss: 0.4900, soft prob loss: 0.3869, soft aux prob loss: 0.0589, optimistic loss: 0.4314, ownership loss: 0.6170, wdl loss: 0.5007, Q values loss: 0.1338, scores loss: 0.1756, errors loss: 0.0095
[steps: 18000, samples: 4608000, speed: 15.82, learning rate: 2.88e-05, batch size: 256] -> all loss: 5.8051, prob loss: 3.0592, aux prob loss: 0.4876, soft prob loss: 0.3864, soft aux prob loss: 0.0588, optimistic loss: 0.4022, ownership loss: 0.6106, wdl loss: 0.4888, Q values loss: 0.1307, scores loss: 0.1721, errors loss: 0.0088
[steps: 19000, samples: 4864000, speed: 15.78, learning rate: 3.0399999999999997e-05, batch size: 256] -> all loss: 5.7665, prob loss: 3.0482, aux prob loss: 0.4867, soft prob loss: 0.3862, soft aux prob loss: 0.0587, optimistic loss: 0.3893, ownership loss: 0.6060, wdl loss: 0.4861, Q values loss: 0.1282, scores loss: 0.1692, errors loss: 0.0079
