[steps: 1000, samples: 256000, speed: 10.15, learning rate: 1.6e-06, batch size: 256] -> all loss: 8.9856, prob loss: 4.4006, aux prob loss: 0.6604, soft prob loss: 0.4411, soft aux prob loss: 0.0660, optimistic loss: 0.1481, ownership loss: 1.4661, wdl loss: 1.0994, Q values loss: 0.2031, scores loss: 0.4302, errors loss: 0.0706
[steps: 2000, samples: 512000, speed: 14.29, learning rate: 3.2e-06, batch size: 256] -> all loss: 8.8884, prob loss: 4.3694, aux prob loss: 0.6591, soft prob loss: 0.4414, soft aux prob loss: 0.0659, optimistic loss: 0.1564, ownership loss: 1.4288, wdl loss: 1.0653, Q values loss: 0.2028, scores loss: 0.4296, errors loss: 0.0698
[steps: 3000, samples: 768000, speed: 14.31, learning rate: 4.8e-06, batch size: 256] -> all loss: 8.6620, prob loss: 4.2796, aux prob loss: 0.6545, soft prob loss: 0.4413, soft aux prob loss: 0.0657, optimistic loss: 0.1740, ownership loss: 1.3632, wdl loss: 0.9905, Q values loss: 0.2015, scores loss: 0.4283, errors loss: 0.0633
[steps: 4000, samples: 1024000, speed: 14.30, learning rate: 6.4e-06, batch size: 256] -> all loss: 8.3142, prob loss: 4.1503, aux prob loss: 0.6448, soft prob loss: 0.4391, soft aux prob loss: 0.0655, optimistic loss: 0.1599, ownership loss: 1.2846, wdl loss: 0.8920, Q values loss: 0.1991, scores loss: 0.4276, errors loss: 0.0512
[steps: 5000, samples: 1280000, speed: 9.47, learning rate: 8e-06, batch size: 256] -> all loss: 7.7369, prob loss: 3.8780, aux prob loss: 0.6220, soft prob loss: 0.4330, soft aux prob loss: 0.0648, optimistic loss: 0.2120, ownership loss: 1.1446, wdl loss: 0.8280, Q values loss: 0.2158, scores loss: 0.3011, errors loss: 0.0377
[steps: 6000, samples: 1536000, speed: 14.22, learning rate: 9.6e-06, batch size: 256] -> all loss: 7.3204, prob loss: 3.6218, aux prob loss: 0.5904, soft prob loss: 0.4207, soft aux prob loss: 0.0632, optimistic loss: 0.2173, ownership loss: 1.0983, wdl loss: 0.7750, Q values loss: 0.2075, scores loss: 0.2990, errors loss: 0.0272
[steps: 7000, samples: 1792000, speed: 14.19, learning rate: 1.12e-05, batch size: 256] -> all loss: 7.0045, prob loss: 3.4402, aux prob loss: 0.5545, soft prob loss: 0.4053, soft aux prob loss: 0.0611, optimistic loss: 0.2285, ownership loss: 1.0694, wdl loss: 0.7344, Q values loss: 0.1965, scores loss: 0.2954, errors loss: 0.0191
[steps: 8000, samples: 2048000, speed: 14.29, learning rate: 1.28e-05, batch size: 256] -> all loss: 6.7817, prob loss: 3.3320, aux prob loss: 0.5306, soft prob loss: 0.3958, soft aux prob loss: 0.0599, optimistic loss: 0.2577, ownership loss: 1.0358, wdl loss: 0.6935, Q values loss: 0.1831, scores loss: 0.2801, errors loss: 0.0131
[steps: 9000, samples: 2304000, speed: 10.04, learning rate: 1.44e-05, batch size: 256] -> all loss: 6.3644, prob loss: 3.1607, aux prob loss: 0.5140, soft prob loss: 0.3944, soft aux prob loss: 0.0599, optimistic loss: 0.2710, ownership loss: 0.9085, wdl loss: 0.6876, Q values loss: 0.1779, scores loss: 0.1794, errors loss: 0.0111
[steps: 10000, samples: 2560000, speed: 14.20, learning rate: 1.6e-05, batch size: 256] -> all loss: 6.2004, prob loss: 3.0816, aux prob loss: 0.5015, soft prob loss: 0.3926, soft aux prob loss: 0.0597, optimistic loss: 0.2721, ownership loss: 0.8656, wdl loss: 0.6712, Q values loss: 0.1720, scores loss: 0.1742, errors loss: 0.0097
[steps: 11000, samples: 2816000, speed: 14.25, learning rate: 1.76e-05, batch size: 256] -> all loss: 6.0996, prob loss: 3.0259, aux prob loss: 0.4939, soft prob loss: 0.3913, soft aux prob loss: 0.0596, optimistic loss: 0.2794, ownership loss: 0.8455, wdl loss: 0.6583, Q values loss: 0.1669, scores loss: 0.1702, errors loss: 0.0085
[steps: 12000, samples: 3072000, speed: 14.19, learning rate: 1.92e-05, batch size: 256] -> all loss: 6.0253, prob loss: 2.9906, aux prob loss: 0.4880, soft prob loss: 0.3906, soft aux prob loss: 0.0595, optimistic loss: 0.2782, ownership loss: 0.8312, wdl loss: 0.6508, Q values loss: 0.1623, scores loss: 0.1666, errors loss: 0.0076
